sample-id	Label	Group	Raw_Reads
#q2:types	categorical	categorical	numeric
ERR6377054	1C	Control	127049
ERR6377055	2C	Control	263067
ERR6377056	3C	Control	77441
ERR6377058	4C	Control	719407
ERR6377059	5C	Control	610127
ERR6377060	1P	Plunge	1755679
ERR6377062	2P	Plunge	447575
ERR6377137	3P	Plunge	270863
ERR6377138	4P	Plunge	604740
ERR6377139	5P	Plunge	432963
ERR6377141	1R	Rate	1186559
ERR6377142	2R	Rate	389127
ERR6377143	3R	Rate	788068
ERR6377144	4R	Rate	453732
ERR6377145	5R	Rate	366901
